CO_ESCOLA,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,SG_UF_ESC,MED,rank,NO_ESCOLA
50005405,5002704,Campo Grande,MS,667,222,COLEGIO ALEXANDER FLEMING
35104607,3550308,São Paulo,SP,666.89,223,PALMARES COLEGIO EFM
23066814,2304400,Fortaleza,CE,666.71,224,CECILIA COLEGIO SANTA
33111456,3304557,Rio de Janeiro,RJ,666.48,225,COLEGIO PH
41407423,4108304,Foz do Iguaçu,PR,666.38,226,COLEGIO BERTONI
35101278,3550308,São Paulo,SP,666.28,227,SAO JOSE COLEGIO AGOSTINIANO
53001222,5300108,Brasília,DF,665.74,228,CED SIGMA
35112773,3509502,Campinas,SP,665.71,229,IMACULADA INSTITUTO EDUCACIONAL
41062221,4119905,Ponta Grossa,PR,665.69,230,UTFPR - CAMPUS PONTA GROSSA
43172423,4314902,Porto Alegre,RS,665.6,231,COLEGIO LEONARDO DA VINCI-ALFA
26137631,2611606,Recife,PE,665.38,232,COLEGIO NUCLEO
17054818,1721000,Palmas,TO,665.29,233,COLEGIO DOM BOSCO INTEGRAL
35107190,3550308,São Paulo,SP,665.15,234,NOSSA SENHORA DO ROSARIO COLEGIO
52033848,5208707,Goiânia,GO,665.12,235,COLEGIO SANTO AGOSTINHO
13025872,1302603,Manaus,AM,665.11,236,CENTRO EDUCACIONAL LATO SENSU
33063648,3304557,Rio de Janeiro,RJ,665.08,237,COLEGIO SAO VICENTE DE PAULO
29365023,2927408,Salvador,BA,664.75,238,COLEGIO OFICINA
33242216,3301702,Duque de Caxias,RJ,664.55,239,CPII - CAMPUS DUQUE DE CAXIAS CP
32041152,3205309,Vitória,ES,664.51,240,ESCOLA SAO DOMINGOS
35258143,3516200,Franca,SP,664.51,241,NOVO COLEGIO
26172860,2611606,Recife,PE,664.46,242,GRUPO GENESE DE ENSINO LTDA
41133153,4106902,Curitiba,PR,664.25,243,COLEGIO MARISTA SANTA MARIA - EI EF EM
31123536,3148004,Patos de Minas,MG,664.15,244,COLEGIO NOSSA SENHORA DAS GRACAS
31230669,3164704,São Sebastião do Paraíso,MG,664.12,245,COL OBJETIVO DE S S PARAISO NHN
31074098,3136702,Juiz de Fora,MG,664.04,246,COLEGIO DOS JESUITAS
26146690,2611606,Recife,PE,663.88,247,ESCOLA AMERICANA DO RECIFE
43139108,4318705,São Leopoldo,RS,663.8,248,UNIDADE DE ENSINO COLEGIO SINODAL - SAO LEOPOLDO
35150022,3530706,Mogi Guaçu,SP,663.76,249,MONTEIRO LOBATO COLEGIO
33075425,3304557,Rio de Janeiro,RJ,663.67,250,COL PENTAGONO
35161861,3554102,Taubaté,SP,663.66,251,PROGRESSAO COLEGIO
35136050,3525904,Jundiaí,SP,663.3,252,LEONARDO DA VINCI COLEGIO DE ENSINO FUNDAMENTAL E MEDIO
31014061,3118601,Contagem,MG,663.25,253,COLEGIO SANTO AGOSTINHO-UNIDADE CONTAGEM
33100705,3304557,Rio de Janeiro,RJ,663.25,254,ESCOLA DINAMIS LTDA
31205265,3138203,Lavras,MG,663.08,255,INST PRESBITERIANO GAMMON
53013875,5300108,Brasília,DF,663.07,256,COL SERIOS
35125222,3507605,Bragança Paulista,SP,662.88,257,CIDADE DE BRAGANCA PTA COLEGIO
31007153,3106200,Belo Horizonte,MG,662.86,258,COLEGIO SAGRADO CORACAO DE MARIA
11049073,1100205,Porto Velho,RO,662.84,259,COLEGIO OBJETIVO MAIS
35140065,3549904,São José dos Campos,SP,662.74,260,INSTITUTO EDUCACIONAL IGUATEMY ESCOLA DE EI EF E EM
33042578,3305802,Teresópolis,RJ,662.67,261,COL SAO PAULO
23077557,2304400,Fortaleza,CE,662.49,262,7 DE SETEMBRO COLEGIO - EBS
29187966,2927408,Salvador,BA,662.12,263,ESCOLA SAO JOSE ANEXA AO COLEGIO SANTISSIMO SACRAMENTO
